Unnamed: 0,date,first_open_x,last_close_x,max_high,min_low,avg_return,volatility_return,volatility_log_return,total_volume,last_momentum_3,avg_true_range,session_return,range,range_ratio,range_ratio_close,up_moves,down_moves,up_move_ratio,avg_body,std_body,max_body,min_body,avg_candle_range,std_close,last_close_y,bullish_count,bearish_count,first_open_y,first_last_change,rsi_14_mean,rsi_14_std,ema_20_mean,macd_mean,macd_signal_mean,macd_diff_mean,macd_diff_std,atr_14_mean,bb_upper_mean,bb_lower_mean,bb_mavg_mean,count_is_doji,count_is_hammer,count_is_inverted_hammer,count_is_bullish_engulfing,count_is_bearish_engulfing,count_is_morning_star
0,2024-01-08,2022.6,2028.94,2030.46,2018.31,8.284897928817722e-05,0.0006179560274279,0.0006178949182984,124663,0.0003993826825696,2.0670212765957805,0.003134579254425,12.150000000000093,0.0060071195490952,0.0059883485958185,24,23,0.5106382978723404,1.020000000000011,0.7423083854641763,2.8900000000001,0.0299999999999727,2.066808510638334,2.776120653617466,2028.94,24,23,2022.6,6.3400000000001455,55.32844361650395,10.859322387200974,2021.7608658706088,0.3562846865079956,0.222969099803794,0.3696661773637797,0.4042530972257604,1.437477670263122,2025.165633414936,2017.9432237279216,2021.5544285714284,4,1,0,2,1,3
1,2024-01-09,2032.76,2034.75,2042.09,2031.06,2.5410737318321e-05,0.0004610978673393,0.000461062198843,217012,0.000836182090947,1.6543362831858472,0.0009789645604989,11.029999999999973,0.0054261201519116,0.0054208133677355,60,53,0.5309734513274337,0.7081415929203618,0.5690335614514734,2.9700000000000277,0.0199999999999818,1.6300884955752275,1.7376576136571635,2034.75,60,53,2032.76,1.990000000000009,55.85590191684749,9.785195068550571,2034.188780152784,0.8395862545786233,0.8917541225746785,-0.0521678679960549,0.3332832825834569,1.678025805879725,2037.542951660146,2030.949145684987,2034.2460486725663,9,6,5,2,2,6
2,2024-01-10,2026.7,2025.54,2040.37,2023.72,-3.998855130494579e-05,0.0005639854856858,0.0005644597664687,212728,-0.0005871527041095,1.546637168141607,-0.0005723590072531,16.649999999999864,0.008215325405832,0.008220030214165,54,59,0.4778761061946903,0.6260176991150443,0.5874347073490245,3.259999999999991,0.0099999999999909,1.4785840707964737,3.6457285979777807,2025.54,54,59,2026.7,-1.160000000000082,47.19841312153488,12.92585505401551,2032.364015525616,-0.3465124190325229,-0.3088460147161218,-0.037666404316401,0.4495042911194267,1.556108022364462,2036.1006963300388,2028.7152594221736,2032.407977876106,8,6,4,1,7,10
3,2024-01-11,2032.94,2029.39,2045.8,2024.76,1.700273603608457e-05,0.0006321999911812,0.0006319370551218,289535,0.0007939717326337,1.8507079646017648,-0.0017462394364811,21.039999999999964,0.0103495430263559,0.0103676474211462,62,50,0.5535714285714286,0.7028318584070682,0.8586580778693496,5.130000000000109,0.0,1.793451327433623,2.1355296605526464,2029.39,62,51,2032.94,-3.5499999999999545,51.30615991148224,8.839759159987384,2032.2070551488348,0.0107696194675522,0.0008261825208455,0.0099434369467066,0.3331047305794946,1.703153024554751,2035.1104043740552,2029.292383236564,2032.2013938053096,13,5,5,1,7,10
4,2024-01-12,2035.98,2057.63,2062.33,2034.04,0.0001224926956986,0.0006162616496096,0.0006158555826797,332701,-0.000204076674522,1.8241592920354277,0.0106336997416478,28.289999999999964,0.0138950284383932,0.0137488275345907,64,48,0.5714285714285714,0.7893805309734416,0.7650201715195625,3.690000000000055,0.0,1.7684070796460452,7.654760969653544,2057.63,64,49,2035.98,21.65000000000009,63.19478117147588,8.302789844066563,2042.0856805771016,1.4541099135805773,1.3341184462355455,0.1199914673450316,0.3687366903504303,1.9012203789422024,2046.3103083913331,2037.53007213964,2041.9201902654868,16,1,5,6,5,7
5,2024-01-15,2054.97,2050.63,2058.66,2049.15,-3.010679656517149e-05,0.000317677692615,0.0003177294453166,160858,-0.000511775715511,1.140353982300866,-0.0021119529725492,9.509999999999764,0.0046278047854712,0.0046375991768382,52,60,0.4642857142857143,0.4683185840708052,0.3451342975020756,1.5199999999999818,0.0,1.1182300884955565,1.6768981452020095,2050.63,52,61,2054.97,-4.339999999999691,46.66775685779424,7.149459618799165,2054.299110165981,-0.0869724749571878,0.0101107776251901,-0.0970832525823779,0.2428982414581942,1.2974277632144071,2056.379779799732,2052.4843263949583,2054.432053097345,14,6,2,4,5,8
6,2024-01-16,2048.42,2039.38,2050.99,2031.22,-4.847687124901576e-05,0.0006437156425608,0.0006436789807033,255413,3.432533553016093e-05,1.7620353982300776,-0.0044131574579431,19.769999999999754,0.0096513410335769,0.0096941227235727,56,57,0.495575221238938,0.8165486725663956,0.9951182358963172,6.879999999999882,0.0099999999999909,1.7436283185840584,4.702427351171759,2039.38,56,57,2048.42,-9.039999999999964,41.280041338174826,8.728837119120412,2043.1978981706743,-0.8592287348998248,-0.8787031025473968,0.019474367647572,0.2991733806399816,1.6547750482697832,2046.4549542009968,2039.8712227901535,2043.1630884955755,11,5,2,5,7,10
7,2024-01-17,2020.62,2010.7,2029.08,2009.52,-0.0001247477181922,0.0010791087503405,0.0010832327287017,318065,-0.0011326491072936,1.9742477876106088,-0.0049093842483989,19.559999999999945,0.009680197167206,0.0097279554384045,51,62,0.4513274336283185,0.7800884955752221,0.764352545313476,5.269999999999982,0.0300000000002,1.809734513274324,3.870040515342557,2010.7,51,62,2020.62,-9.919999999999844,43.77529049335413,13.609896954892648,2024.197000412781,-1.1106951448436808,-1.0139940938439065,-0.0967010509997746,0.7795747871434427,1.9121869615016824,2030.3139731070933,2018.3538056539687,2024.3338893805308,9,7,3,0,3,5
8,2024-01-18,2009.08,2013.17,2017.34,2007.29,1.0935602805458467e-05,0.0003789511355214,0.0003789718743004,250862,0.0003875988252775,1.4785840707964597,0.0020357576602225,10.049999999999956,0.0050022896051924,0.0049921268447274,62,51,0.5486725663716814,0.5988495575221164,0.4788989458949168,2.4700000000000277,0.0099999999999909,1.4730088495575204,1.6221264732428156,2013.17,62,51,2009.08,4.0900000000001455,46.89692633751258,10.274715686275496,2012.3617607289032,-0.5464740778124986,-0.6349174974753926,0.0884434196628939,0.3022895281535138,1.561046307798,2015.1475169098003,2009.3405892848896,2012.2440530973447,16,6,6,5,6,6
9,2024-01-19,2021.7,2023.98,2039.5,2020.73,4.753191135146074e-05,0.0005298561483609,0.0005293805344976,237085,-0.001090717060098,1.4702654867256586,0.0011277637631696,18.769999999999985,0.0092842657169708,0.0092738070534293,58,55,0.5132743362831859,0.5910619469026506,0.5027786413519958,2.849999999999909,0.0099999999999909,1.4029203539822963,3.849868629442938,2023.98,58,55,2021.7,2.2799999999999727,62.5476252909976,14.553171068738394,2028.113679676417,1.2224477711755517,1.274253379636201,-0.0518056084606494,0.4422504307418008,1.4363578465719415,2031.9924055675508,2024.4088068218296,2028.2006061946904,9,4,5,4,2,10
